"Series Key",ELEC.SALES.US-RES.M,"Series Key",ELEC.SALES.US-COM.M,"Series Key",ELEC.SALES.US-IND.M
"Series Name","Retail sales of electricity : United States : residential : monthly","Series Name","Retail sales of electricity : United States : commercial : monthly","Series Name","Retail sales of electricity : United States : industrial : monthly"
Units,"million kilowatthours",Units,"million kilowatthours",Units,"million kilowatthours"
Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202009,127583.66965,202009,112213.76361,202009,77504.78094
202008,158821.41757,202008,122024.58524,202008,82582.31949
202007,166890.82666,202007,125994.21203,202007,81276.25286
202006,131242.46216,202006,108695.0422,202006,75210.98956
202005,105411.88446,202005,93405.71294,202005,71219.94475
202004,97464.57724,202004,90631.15901,202004,69590.77096
202003,104006.3208,202003,102936.85644,202003,77564.65112
202002,111931.38861,202002,101904.75773,202002,75650.08455
202001,124414.14153,202001,108856.99417,202001,77425.60211
201912,121078.07664,201912,108001.47569,201912,80094.7451
201911,102452.92208,201911,102840.01355,201911,79624.66409
201910,107997.2082,201910,115304.90269,201910,84396.13735
201909,131566.72667,201909,122059.1507,201909,86160.37695
201908,150083.05574,201908,130776.1738,201908,91061.84215
201907,153748.88906,201907,130951.45258,201907,90752.18668
201906,120116.16993,201906,115745.02702,201906,84991.9946
201905,100331.07128,201905,111200.9527,201905,84661.29301
201904,90383.8218,201904,102445.9396,201904,80459.75842
201903,112605.41506,201903,107468.19984,201903,81092.831
201902,116608.00237,201902,102070.87863,201902,76447.26277
201901,133317.55017,201901,112012.38825,201901,82609.75692
201812,123180.40374,201812,107998.08271,201812,80306.13626
201811,103789.9565,201811,104983.1121,201811,81118.3574
201810,107048.75285,201810,116133.34132,201810,85300.74348
201809,128909.79255,201809,122033.47842,201809,85678.99407
201808,153496.49426,201808,134848.07012,201808,92105.75136
201807,153566.05021,201807,131521.57202,201807,89301.35668
201806,129912.8992,201806,122011.1754,201806,85536.24101
