"Series Key",ELEC.PRICE.US-ALL.M,"Series Key",ELEC.PRICE.US-RES.M,"Series Key",ELEC.PRICE.US-COM.M,"Series Key",ELEC.PRICE.US-IND.M
"Series Name","Average retail price of electricity : United States : all sectors : monthly","Series Name","Average retail price of electricity : United States : residential : monthly","Series Name","Average retail price of electricity : United States : commercial : monthly","Series Name","Average retail price of electricity : United States : industrial : monthly"
Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour",Units,"cents per kilowatthour"
Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202009,11.07,202009,13.55,202009,11.07,202009,7.01
202008,11.11,202008,13.31,202008,10.95,202008,7.09
202007,11.14,202007,13.26,202007,10.9,202007,7.17
202006,10.96,202006,13.28,202006,10.95,202006,6.94
202005,10.47,202005,13.15,202005,10.46,202005,6.53
202004,10.42,202004,13.28,202004,10.42,202004,6.4
202003,10.29,202003,13.09,202003,10.41,202003,6.38
202002,10.29,202002,12.85,202002,10.36,202002,6.41
202001,10.28,202001,12.79,202001,10.24,202001,6.33
201912,10.22,201912,12.68,201912,10.32,201912,6.38
201911,10.38,201911,13.03,201911,10.57,201911,6.72
201910,10.39,201910,12.81,201910,10.74,201910,6.84
201909,10.82,201909,13.16,201909,10.96,201909,7.06
201908,11.05,201908,13.3,201908,11.02,201908,7.4
201907,11,201907,13.26,201907,11.02,201907,7.14
201906,10.74,201906,13.32,201906,10.9,201906,6.87
201905,10.38,201905,13.31,201905,10.54,201905,6.69
201904,10.24,201904,13.25,201904,10.52,201904,6.51
201903,10.34,201903,12.84,201903,10.46,201903,6.73
201902,10.4,201902,12.72,201902,10.54,201902,6.69
201901,10.24,201901,12.47,201901,10.3,201901,6.58
201812,10.21,201812,12.43,201812,10.33,201812,6.67
201811,10.35,201811,12.9,201811,10.54,201811,6.85
201810,10.41,201810,12.85,201810,10.77,201810,6.87
201809,10.66,201809,13.01,201809,10.72,201809,7.05
201808,11.01,201808,13.26,201808,11.03,201808,7.25
201807,10.99,201807,13.13,201807,11,201807,7.32
201806,10.75,201806,13.03,201806,10.84,201806,7.17
201805,10.35,201805,13.12,201805,10.51,201805,6.79
201804,10.18,201804,12.88,201804,10.46,201804,6.57
201803,10.34,201803,12.97,201803,10.51,201803,6.63
201802,10.42,201802,12.63,201802,10.65,201802,6.78
201801,10.41,201801,12.22,201801,10.49,201801,6.94
201712,10.17,201712,12.45,201712,10.28,201712,6.54
201711,10.28,201711,12.94,201711,10.49,201711,6.73
201710,10.4,201710,12.8,201710,10.78,201710,6.91
201709,10.86,201709,13.28,201709,11.03,201709,7.17
201708,10.91,201708,13.15,201708,11.01,201708,7.22
201707,10.95,201707,13.08,201707,10.97,201707,7.31
201706,10.83,201706,13.2,201706,11.01,201706,7.19
201705,10.34,201705,13.07,201705,10.59,201705,6.78
201704,10.07,201704,12.72,201704,10.4,201704,6.6
201703,10.28,201703,12.89,201703,10.46,201703,6.71
201702,10.28,201702,12.79,201702,10.48,201702,6.63
201701,10.13,201701,12.21,201701,10.21,201701,6.59
201612,10.09,201612,12.23,201612,10.17,201612,6.67
201611,10.1,201611,12.75,201611,10.32,201611,6.66
201610,10.15,201610,12.46,201610,10.55,201610,6.73
201609,10.68,201609,12.87,201609,10.77,201609,7.14
201608,10.81,201608,12.88,201608,10.76,201608,7.23
201607,10.7,201607,12.68,201607,10.68,201607,7.23
201606,10.52,201606,12.73,201606,10.66,201606,7.03
201605,10.06,201605,12.79,201605,10.31,201605,6.57
201604,9.83,201604,12.43,201604,10.19,201604,6.44
201603,10,201603,12.56,201603,10.23,201603,6.46
201602,10,201602,12.14,201602,10.25,201602,6.42
201601,9.97,201601,11.99,201601,10.08,201601,6.44
201512,9.98,201512,12.32,201512,10.13,201512,6.45
201511,10.05,201511,12.71,201511,10.3,201511,6.61
201510,10.31,201510,12.72,201510,10.73,201510,6.88
201509,10.79,201509,13.03,201509,10.98,201509,7.21
201508,10.85,201508,12.91,201508,10.94,201508,7.35
201507,10.95,201507,12.94,201507,11.07,201507,7.45
201506,10.64,201506,12.92,201506,10.89,201506,7.11
201505,10.21,201505,12.93,201505,10.47,201505,6.74
201504,10.01,201504,12.62,201504,10.37,201504,6.61
201503,10.29,201503,12.33,201503,10.63,201503,6.83
201502,10.36,201502,12.29,201502,10.62,201502,6.88
201501,10.18,201501,12.1,201501,10.31,201501,6.67
201412,10.12,201412,12.17,201412,10.36,201412,6.7
201411,10.13,201411,12.48,201411,10.52,201411,6.75
201410,10.34,201410,12.6,201410,10.83,201410,7.07
201409,10.83,201409,12.95,201409,11.16,201409,7.37
