"Series Key",ELEC.GEN.COW-US-99.M,"Series Key",ELEC.GEN.NG-US-99.M,"Series Key",ELEC.GEN.NUC-US-99.M,"Series Key",ELEC.GEN.HYC-US-99.M,"Series Key",ELEC.GEN.WND-US-99.M
"Series Name","Net generation : coal : United States : all sectors : monthly","Series Name","Net generation : natural gas : United States : all sectors : monthly","Series Name","Net generation : nuclear : United States : all sectors : monthly","Series Name","Net generation : conventional hydroelectric : United States : all sectors : monthly","Series Name","Net generation : wind : United States : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202009,68395.67702,202009,141406.66981,202009,65727.317,202009,19182.11175,202009,23176.0324
202008,91164.99383,202008,174129.84618,202008,68982.187,202008,24227.83917,202008,22570.71305
202007,89845.33355,202007,185433.35809,202007,69385.44,202007,27753.19342,202007,22579.21085
202006,65274.37394,202006,143179.90065,202006,67205.083,202006,29137.98926,202006,29871.72279
202005,46529.48478,202005,115854.51716,202005,64337.97,202005,30559.05329,202005,28163.26916
202004,40593.38443,202004,107928.92945,202004,59170.016,202004,21957.3509,202004,29335.78634
202003,50642.52179,202003,123654.23429,202003,63997.21,202003,23423.09277,202003,29204.20663
202002,56100.73067,202002,125554.40953,202002,65950.342,202002,26392.94527,202002,29091.51631
202001,65099.61685,202001,133154.03605,202001,74169.646,202001,25424.85594,202001,28149.46885
201912,72580.7358,201912,131830.2862,201912,73073.575,201912,21478.18136,201912,26495.64212
201911,75549.33833,201911,117903.94667,201911,64125.425,201911,20217.59733,201911,25041.94703
201910,66777.23142,201910,130940.66011,201910,62032.622,201910,18305.81291,201910,27520.90505
201909,85706.6908,201909,149687.66149,201909,66063.58,201909,18525.75999,201909,24447.58443
201908,94039.70209,201908,174955.37162,201908,71910.684,201908,22578.66752,201908,19950.98612
201907,100770.78509,201907,171941.96069,201907,72198.595,201907,24875.39844,201907,22042.88461
201906,78539.50656,201906,137827.80768,201906,68804.879,201906,28077.76308,201906,22385.03209
201905,71884.62512,201905,117052.61532,201905,67123.546,201905,31982.04155,201905,25695.1904
201904,59922.45967,201904,104053.16085,201904,60580.927,201904,27820.1768,201904,28853.78928
201903,78351.57142,201903,115806.07243,201903,65079.691,201903,26333.98533,201903,25677.44584
201902,79929.40867,201902,112135.47266,201902,64714.894,201902,22880.53778,201902,22546.56459
201901,100904.70457,201901,121581.77667,201901,73700.844,201901,24797.80842,201901,24248.34829
201812,100318.60014,201812,109801.97563,201812,71657.288,201812,22797.16131,201812,24306.28369
201811,92818.59372,201811,108167.63501,201811,63954.37,201811,21912.71643,201811,22015.7339
201810,87263.62736,201810,123142.23947,201810,59396.905,201810,19548.19092,201810,21193.89801
201809,96543.99239,201809,141785.5277,201809,64724.753,201809,19165.6208,201809,18519.67063
201808,115129.45572,201808,161676.24102,201808,72282.467,201808,22016.90536,201808,19846.43699
201807,115376.37644,201807,164749.06024,201807,72456.009,201807,25099.52896,201807,16446.57439
201806,101503.42674,201806,130826.39996,201806,69687.556,201806,27597.48847,201806,24702.85593
201805,85227.3,201805,115283.9823,201805,67320.248,201805,30444.28385,201805,23953.12766
201804,73346.00643,201804,98371.08027,201804,59133.155,201804,28115.15452,201804,26430.85718
201803,80625.66254,201803,106523.77987,201803,67032.656,201803,25860.604,201803,26463.70391
201802,82050.18241,201802,98511.85154,201802,64790.03,201802,24902.25758,201802,23189.48924
201801,119284.11471,201801,110292.90908,201801,74649.04,201801,25064.07663,201801,25598.8222
201712,106545.36665,201712,111397.79204,201712,73699.572,201712,22247.84164,201712,22200.68098
201711,90986.33924,201711,94928.34076,201711,66617.853,201711,19888.33402,201711,22614.8668
201710,89775.52365,201710,106826.27512,201710,65994.785,201710,17698.17945,201710,24368.70291
201709,98202.04611,201709,118035.85224,201709,68097.918,201709,19151.75538,201709,17911.77474
201708,119488.38491,201708,141201.1381,201708,72384.218,201708,22033.85574,201708,13878.84827
201707,127697.82032,201707,146929.43853,201707,71314.219,201707,26598.24651,201707,16119.99604
201706,107508.32219,201706,117235.70085,201706,67010.782,201706,30575.29559,201706,20141.74696
201705,92776.54135,201705,98019.31124,201705,61312.753,201705,32607.11514,201705,23067.63856
201704,81335.3131,201704,88455.10059,201704,56743.352,201704,29409.46563,201704,25377.94296
201703,89364.62027,201703,95073.66171,201703,65093.2,201703,29613.19463,201703,25730.61672
201702,86822.18986,201702,82767.65084,201702,63560.371,201702,23881.76459,201702,22091.10927
201701,115332.80828,201701,95572.22908,201701,73120.612,201701,26627.88134,201701,20798.77101
201612,118746.8419,201612,96363.59628,201612,71662.429,201612,22527.76456,201612,23145.52474
201611,86940.46241,201611,93941.8345,201611,65178.776,201611,18808.26528,201611,19405.64211
201610,99193.94367,201610,102897.98607,201610,60733.343,201610,17338.85654,201610,20335.38978
201609,114137.76825,201609,125602.73981,201609,65448.176,201609,16367.68403,201609,16403.64017
201608,135634.73331,201608,154759.67321,201608,71526.405,201608,19569.54914,201608,13589.32615
201607,136316.43397,201607,151553.87196,201607,70349.347,201607,21455.32093,201607,17618.35712
201606,116034.38414,201606,131395.22913,201606,67175.324,201606,23236.86739,201606,16303.4413
201605,81694.51025,201605,110430.1923,201605,66576.493,201605,25486.38143,201605,18847.89867
201604,72112.8619,201604,98875.9473,201604,62731.845,201604,25878.02878,201604,20799.30345
201603,72172.52681,201603,103889.93756,201603,66148.894,201603,27389.8772,201603,21939.40933
201602,92704.80797,201602,98552.17908,201602,65638.141,201602,24139.01548,201602,20138.2278
201601,113459.37975,201601,110043.74673,201601,72524.775,201601,25614.54233,201601,18466.40151
201512,89495.07284,201512,109776.67885,201512,69633.664,201512,23165.56195,201512,20098.37277
201511,87227.13603,201511,102236.25483,201511,60263.941,201511,19337.83088,201511,19681.71564
201510,96758.50415,201510,110005.03903,201510,60570.921,201510,16630.40155,201510,16380.03853
201509,117985.6322,201509,123035.92238,201509,66476.372,201509,16094.1224,201509,13971.56651
201508,134670.3089,201508,139083.7544,201508,72415.352,201508,19122.10511,201508,13080.02756
201507,139099.86855,201507,141119.08134,201507,71412.176,201507,21014.22144,201507,13675.44937
201506,125673.11366,201506,121477.74922,201506,68516.165,201506,20414.084,201506,13421.26619
201505,104584.52668,201505,101516.3545,201505,65826.525,201505,20125.4156,201505,17151.34131
201504,88989.1425,201504,92805.99824,201504,59784.495,201504,22470.97723,201504,17867.14921
201503,108487.53856,201503,99422.71998,201503,64546.799,201503,24280.90476,201503,15307.92894
201502,126976.83198,201502,91315.16471,201502,63461.493,201502,22286.07601,201502,14921.54534
201501,132450.52066,201501,101687.39262,201501,74269.974,201501,24138.3839,201501,15162.14633
201412,124620.11616,201412,91037.8204,201412,73362.548,201412,22328.78862,201412,14711.24947
201411,119127.43937,201411,84353.51326,201411,65140.185,201411,18624.92296,201411,18866.92881
201410,111295.95754,201410,97683.01576,201410,62390.988,201410,17159.21225,201410,14507.93111
201409,126110.38461,201409,106581.58568,201409,67534.5,201409,16074.32674,201409,11519.76842
201408,148451.62333,201408,122348.42288,201408,71128.746,201408,19807.24668,201408,10170.52076
201407,149627.05758,201407,115081.26949,201407,71940.126,201407,24357.40238,201407,12187.39242
201406,137576.92149,201406,98467.60766,201406,68138.232,201406,25743.87767,201406,15798.81712
201405,118785.80061,201405,89119.67653,201405,62947.43,201405,26543.88511,201405,15601.36684
201404,109280.59165,201404,76781.87947,201404,56384.588,201404,25439.90661,201404,18635.54917
201403,136442.60132,201403,78150.91836,201403,62397.08,201403,24257.12925,201403,17735.8829
201402,143294.48747,201402,75942.31445,201402,62638.95,201402,17396.12893,201402,14008.66045
201401,157097.36861,201401,91060.93439,201401,73162.609,201401,21633.79467,201401,17911.21433
201312,141859.66537,201312,92936.2913,201312,71293.578,201312,21128.29918,201312,13967.05881
201311,120939.72975,201311,84286.78492,201311,64975.456,201311,17676.83384,201311,15803.25968
201310,120996.39294,201310,88587.40151,201310,63183.533,201310,17198.59414,201310,13635.01809
201309,133110.43729,201309,102063.23334,201309,65798.971,201309,16961.1523,201309,11674.08115
201308,149426.0529,201308,121156.39696,201308,71344.379,201308,21633.31561,201308,9633.88368
201307,152866.8527,201307,120770.9808,201307,70539.238,201307,27254.5715,201307,11093.61355
201306,138283.21603,201306,99615.06431,201306,66429.69,201306,27384.06656,201306,13748.10576
201305,119512.5,201305,83815.59186,201305,62848.155,201305,28450.09411,201305,16238.70213
201304,111834.68254,201304,78036.43182,201304,56766.882,201304,25097.10474,201304,17476.27429
201303,130633.56036,201303,84725.25919,201303,62947.389,201303,20534.35802,201303,15755.65337
201302,123546.80484,201302,80283.07377,201302,61483.385,201302,20418.46514,201302,14075.59068
201301,138104.82108,201301,88559.05007,201301,71405.817,201301,24828.52759,201301,14738.50426
201212,134078.90757,201212,83989.0974,201212,68583.669,201212,22984.35228,201212,14523.51758
201211,128727.0657,201211,80169.46107,201211,56712.757,201211,18733.31916,201211,11648.4968
201210,120999.33876,201210,91725.37056,201210,59743.218,201210,16501.69662,201210,12635.90112
201209,125588.60805,201209,108012.30069,201209,64510.882,201209,17603.96419,201209,8789.86546
201208,152181.05516,201208,131735.86442,201208,69602.111,201208,23033.72581,201208,8469.41899
201207,160450.26253,201207,138862.84998,201207,69129.329,201207,26491.04579,201207,8823.083
201206,131261.03605,201206,115597.50323,201206,65140.085,201206,26657.66222,201206,11972.15949
201205,115982.64658,201205,107351.81228,201205,62081.445,201205,28641.31224,201205,12540.32427
201204,96285.44067,201204,94828.59637,201204,55870.931,201204,26295.39842,201204,12709.03261
